P_SOI,M1_SOI,M2_SOI
-2037.29747,0.00000,3806.54575
-1985.05908,218.62756,4127.28969
-1932.82068,442.99338,4440.53788
-1880.58228,672.70388,4723.99778
-1828.34389,908.21073,4994.05691
-1776.10549,1148.64102,5286.00540
-1723.86709,1385.99120,5509.42871
-1671.62870,1613.15665,5725.16041
-1619.39030,1828.07863,5930.46291
-1567.15190,2032.38579,6126.85437
-1514.91351,2222.65737,6281.59395
-1462.67511,2399.91493,6389.97051
-1410.43671,2563.85463,6532.46468
-1358.19832,2712.99425,6641.70996
-1305.95992,2850.34428,6738.03125
-1253.72152,2975.13357,6769.12894
-1201.48313,3090.21670,6836.61652
-1149.24473,3192.70280,6914.96835
-1097.00633,3284.84122,6935.60955
-1044.76794,3368.65233,6968.60914
-992.52954,3446.02686,7021.27639
-940.29114,3518.54455,7116.15530
-888.05275,3588.34346,7230.51710
-835.81435,3660.42234,7362.32415
-783.57595,3729.34829,7231.34175
-731.33756,3779.23033,7024.60539
-679.09916,3812.30114,6819.33045
-626.86076,3829.63048,6613.02009
-574.62236,3828.78682,6356.83819
-522.38397,3808.42074,6065.34290
-470.14557,3771.07294,5765.28399
-417.90717,3716.06393,5470.92108
-365.66878,3645.07508,5225.81573
-313.43038,3566.87600,4951.48446
-261.19198,3476.35912,4744.23715
-208.95359,3387.89442,4470.27950
-156.71519,3333.18807,4409.89639
-104.47679,3288.82310,4012.70809
-52.23840,3243.22427,3617.08978
0.00000,3275.56000,3275.56000